full_text,retweet_count,favorite_count,user_location,created_at
@FallGuysGame 😥 neither do we,0,0,Fortune City (Pre-outbreak),Mon Sep 07 03:55:22 +0000 2020
@FallGuysGame But everyone else does,0,0,,Mon Sep 07 03:53:47 +0000 2020
@FallGuysGame yES sTAY,0,1,Mushroom Kingdom,Mon Sep 07 03:53:45 +0000 2020
@FallGuysGame Then don't,0,0,United States,Mon Sep 07 03:52:51 +0000 2020
@FallGuysGame !GoodBot,0,0,"Salt Lake City, UT",Mon Sep 07 03:52:12 +0000 2020
@FallGuysGame please don't self destruct beanbot we love u,0,0,🌊,Mon Sep 07 03:51:57 +0000 2020
@FallGuysGame Then don’t leave BeanBot,0,0,,Mon Sep 07 03:51:07 +0000 2020
"@FallGuysGame BeanBot deserves its own twitter account. 👌

!goodbot",0,0,Republic of the Philippines,Mon Sep 07 03:50:49 +0000 2020
@FallGuysGame oh no it's going rouge,0,0,Mexico,Mon Sep 07 03:49:48 +0000 2020
@FallGuysGame !goodbot,0,0,Gramps,Mon Sep 07 03:49:10 +0000 2020
@FallGuysGame #boycottfallguys until you get rid of the cheaters. literally 95% of the finales i play in have a cheater who steals the win. you're letting the game die https://t.co/qKWKRvkYrl,0,0,,Mon Sep 07 03:48:29 +0000 2020
"@FallGuysGame !GoodBot We love you very much, BeanBot",0,0,,Mon Sep 07 03:48:21 +0000 2020
"@FallGuysGame We will never forget you BeanBot, as you have all the crowns.",0,0,Hell,Mon Sep 07 03:46:15 +0000 2020
@FallGuysGame !GoodBot DONT LEAVE,0,1,,Mon Sep 07 03:46:09 +0000 2020
"@FallGuysGame BEANBOT you need your own twitter account , I would follow you",0,0,,Mon Sep 07 03:45:22 +0000 2020
@FallGuysGame !Goodbot,0,0,,Mon Sep 07 03:45:18 +0000 2020
"@FallGuysGame Then dont leave BeanBot

!GoodBot",0,0,"Washington, USA",Mon Sep 07 03:44:34 +0000 2020
@FallGuysGame We don't want you to leave or self destruct beanbot,0,0,"Ontario, Canada",Mon Sep 07 03:43:22 +0000 2020
@FallGuysGame there becoming self-aware this isn't good.,0,0,,Mon Sep 07 03:41:16 +0000 2020
@FallGuysGame !GOODBOT,0,0,Behind you,Mon Sep 07 03:40:56 +0000 2020
@FallGuysGame Bean boy is coming sentient?,0,0,,Mon Sep 07 03:40:42 +0000 2020
@FallGuysGame Cute Beanbot,0,0,Behind you,Mon Sep 07 03:39:07 +0000 2020
"@FallGuysGame If BeanBot leaves, we riot.",0,0,"Stockton, ca",Mon Sep 07 03:39:06 +0000 2020
"@FallGuysGame No one wants you to leave BeanBot, please just stay forever 🥺 👉👈",0,0,"Honolulu, HI",Mon Sep 07 03:38:10 +0000 2020
"@FallGuysGame Instead of making useless tweets all day long, fix your game cuz it's full of cheaters basically 3 games out of 4",0,1,France,Mon Sep 07 03:36:57 +0000 2020
@FallGuysGame Why can’t we wear our crowns??,0,0,USA ,Mon Sep 07 03:36:56 +0000 2020
@FallGuysGame Then don't leave we love you,0,0,,Mon Sep 07 03:36:50 +0000 2020
